Nivel en el que te encuentras actualmente:;Nombre(s) ;Apellidos;Género;Fecha de nacimiento;Lugar de nacimiento ;NACIONALIDAD;Edad;Tipo de documento de identificación;Número de identificación (sin comas ni puntos);Ciudad en la que vive;Barrio o corregimiento donde vive;Comuna;Estrato socioeconómico;Dirección;Número de teléfono;Escolaridad (grado o programa que estés cursando actualmente);Colegio en el que estudia (o estudió para los de Mundo cotidiano);Si tu respuesta anterior fue otra, indica cuál colegio:;En el caso de que estés cursando un programa de pregrado universitario o programa técnico o tecnológico ¿cuál?;En el caso de que estés cursando un programa de pregrado universitario o programa técnico o tecnológico ¿En qué institución educativa? ;¿Qué temática o curso del colegio o institución universitaria disfrutas más? ;¿Qué temática o curso del colegio o institución universitaria es más difícil para ti?  ;¿Tienes alguna responsabilidad especial diferente al estudio? ;¿Perteneces a alguna organización, equipos o clubes dentro y fuera de la Institución educativa? (diferente a Soroca) ¿Cuáles?;¿Qué te gusta hacer en tu tiempo libre? (además de pasar tiempo con tus amistades);¿Actualmente, te encuentras trabajando?;En caso de haber respondido afirmativamente en la respuesta anterior, escribe qué labores desempeñas, dónde y hace cuánto;"¿Qué carreras/profesiones/oficios te interesaría que podrías estudiar/aprender? (si ya lo estás estudiando puedes responder ""lo estoy haciendo"")";¿Estás actualmente afiliado a EPS?;Nombre de la EPS;En caso de haber respondido OTRA en la respuesta anterior, indique el nombre de la EPS ;Nombre de la IPS donde es atendido/a por urgencias;Adjunta certificado EPS;Tipo de sangre;¿Presenta alguna discapacidad? ;En caso de haber respondido afirmativamente la respuesta anterior, seleccione ¿Cuál?;¿Cuenta con algún diagnóstico médico de enfermedad, discapacidad, limitación o tratamiento? ;En caso de haber respondido afirmativamente en la respuesta anterior, ¿Cuál? ;¿Tiene alguna alergia? ;En caso de haber respondido afirmativamente en la respuesta anterior, ¿a qué reaccionas con alergia? ;¿Se encuentra en tratamiento médico y/o farmacológico? Descríbalo ;Composición familiar (¿Con quiénes vives en tu casa?) ;¿Cuántas personas viven en tu casa? incluyéndote;Ingresos Familiares mensuales   (salario mínimo vigente a 2025 $1.423.000);¿Fuiste víctima del conflicto armado?;¿Te encuentras inscrito/a en el Registro Único de Víctimas?;¿Con qué etnia te identificas? ;¿Alguien de tu familia/red de apoyo primario están buscando empleo?;La Fundación Ser para Ser, al ser aliada de Compromiso Valle, tiene la posiblidad de recomendar .  En caso de responder a la anterior pregunta si.  Bríndanos su nombre, parentesco y número de contacto.;Nombres  y apellidos de tu acudiente principal;Tipo de documento de identidad;Número de documento de identidad (sin comas ni puntos);Número de teléfono 2;Género 2;Parentesco ;Edad 2;¿Trabaja actualmente?;¿Qué labor desempeña?;Tipo de vinculación laboral ;¿Con qué grupo poblacional te identificas?;Nombres  y apellidos;Tipo de documento de identidad 2;Número de documento de identidad (sin comas ni puntos) 2;Edad 3;Número de teléfono 3;Género 3;Parentesco  2;¿Trabaja actualmente? 2;¿Qué labor desempeña? 2;Tipo de vinculación laboral  2;¿Con qué grupo poblacional te identificas? 2;Se tiene la autorización firmada por el acudiente en documento físico ;Parentesco  3;Régimen de afiliación;Nacionalidad2;En el caso de que hayas respondido otra en la pregunta anterior, indique ¿cuál?;Column 79;ID. DOCUMENTO SUBIDO DRIVE ;EPS. SUBIDO AL DRIVE;CONSENTIMIENTO SUBIDO AL DRIVE 
Universitario;Santiago;Arango Henao;Masculino;4/06/2004;Cali, Valle del Cauca ;Colombiana;21;Cédula de Ciudadanía;1109184551;CALI;Oasis de Comfandi;6;2;Cra 3 E Norte #71c42;3186139890;9 Semestre;INEM;INEM;Ing Sistemas;Javeriana Cali;Matematicas;LA ELECTRICIDAD ;Ninguna;Ninguna;PATINAR,VER SERIES,COMER ;No;;ME GUSTARIA ESTUDIAR NEGOCIOS INTERNACIONALES;Sí;EMSSANAR;;CARLOS HOLMES TRUJILLO;LINK ADJUNTO COPIA EPS;O+;No;;No;;No;;NO;Mamá, Hermanos/as, Abuelos/as, PADRASTRO;5;Entre 1 y 2 SMV;Sí;Sí;Afrodescendiente;No;NOMBRE COMPLETO FAMILIAR;NOMBRES Y APELLIDOS;Cédula de ciudadanía;NÚMEROS SIN COMAS NI PUNTOS;NÚMEROS SIN COMAS NI PUNTOS;Femenino;Mamá;36;Sí;OPERARIA DE ASEO;Contrato a termino fijo;Padre/Madre;NOMBRE COMPLETO;Cédula de ciudadanía;NÚMEROS SIN COMAS NI PUNTOS;65;NÚMEROS SIN COMAS NI PUNTOS;Femenino;Abuelo/Abuela;No;;;Padre/Madre;Sí;Abuelo/Abuela;Subsidiado;Colombiana;;;;;
Universitario;Jhon Ríos;Arango Henao;Masculino;4/06/2004;Cali, Valle del Cauca ;Colombiana;21;Cédula de Ciudadanía;1109184552;CALI;Oasis de Comfandi;6;2;Cra 3 E Norte #71c42;3186139890;9 Semestre;INEM;INEM;Ing Sistemas;Javeriana Cali;Matematicas;LA ELECTRICIDAD ;Ninguna;Ninguna;PATINAR,VER SERIES,COMER ;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Técnico/Tecnológico;Andrés;Díaz Hernández;Masculino;16/05/2001;Buenaventura, Valle del Cauca;Colombiana;24;Cédula de Ciudadanía;4769139111;BUENAVENTURA;Caney;16;3;Cll 5 #80-22;3810799518;Técnico laboral;Normal Superior;;Ingeniería Industrial;Universidad del Valle;Inglés;Física;Apoyo en negocio familiar;Ninguna;Jugar fútbol y ver series;Sí;Mesero/a los fines de semana, hace 1 año;Diseño gráfico;Sí;Sura;;Clínica Versalles;LINK ADJUNTO COPIA EPS;A+;No;;No;;No;;Suplementos vitamínicos;Mamá y hermanos;2;Más de 3 SMV;No;No;Indígena;Sí;Mateo García, Padre, 3679391863;Camila Rojas;Cédula de Ciudadanía;4479435712;3226450769;Femenino;Abuela;60;No;Independiente;Temporal;Migrante;Lucía Rojas;Cédula de Ciudadanía;1867161319;41;3214568316;Femenino;Padre;Sí;Comerciante;Informal;Madre cabeza de hogar;Sí;Madre;Subsidiado;Colombiana;;;;;
Técnico/Tecnológico;Gabriela;Castro Gómez;Femenino;11/10/2003;Jamundí, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;2941567940;JAMUNDÍ;Siloé;11;4;Cra 66 #9-18;3645754076;Técnico laboral;INEM;;Trabajo Social;SENA;Matemáticas;Física;Ninguna;Grupo juvenil;Dibujar y escuchar música;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Marketing digital;Sí;Sanitas;;Clínica Versalles;LINK ADJUNTO COPIA EPS;O+;No;;No;;Sí;Penicilina;Suplementos vitamínicos;Mamá, padrastro y hermanos;4;Menos de 1 SMV;No;No;Indígena;No;;Valentina Torres;Cédula de Ciudadanía;6357313432;3778339926;Masculino;Abuela;30;Sí;Comerciante;Temporal;Ninguno;Isabella López;Cédula de Ciudadanía;3427705160;45;3462882604;Femenino;Padre;No;Independiente;Independiente;Migrante;Sí;Tía;Contributivo;Colombiana;;;;;
Media;Laura;Mendoza Martínez;Femenino;1/11/2006;Tuluá, Valle del Cauca;Colombiana;19;Cédula de Ciudadanía;5192993639;TULUÁ;Alfonso López;4;4;Cra 39 #44-10;3103705246;10;INEM;;Psicología;Unicatólica;Biología;Química;Ninguna;Ninguna;Ver películas y jugar videojuegos;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Marketing digital;Sí;Coosalud;;Clínica Versalles;LINK ADJUNTO COPIA EPS;O-;No;;Sí;Asma controlada;Sí;Mariscos;Tratamiento odontológico;Mamá y hermanos;4;Entre 2 y 3 SMV;No;No;Indígena;No;;Sofía Mendoza;Cédula de Ciudadanía;5496711686;3559191275;Femenino;Abuela;47;Sí;Conductor;Formal;Madre cabeza de hogar;Valentina Torres;Cédula de Ciudadanía;6729420397;34;3935819070;Masculino;Tía;No;Conductor;Formal;Víctima del conflicto;Sí;Tía;Subsidiado;Colombiana;;;;;
Universitario;Mariana;Rodríguez Mendoza;Masculino;21/01/2002;Yumbo, Valle del Cauca;Colombiana;24;Cédula de Ciudadanía;7255658543;YUMBO;Siloé;17;3;Cra 15 #23-45;3156593751;Técnico laboral;Santa Librada;;Tecnología en Desarrollo de Software;Javeriana Cali;Comunicación;Física;Ninguna;Grupo juvenil;Jugar fútbol y ver series;No;;Diseño gráfico;Sí;Nueva EPS;;Clínica Colombia;LINK ADJUNTO COPIA EPS;AB+;No;;Sí;Asma controlada;No;;Tratamiento odontológico;Abuela y tíos;7;Entre 1 y 2 SMV;Sí;Sí;Afrocolombiano/a;No;;Andrés Hernández;Cédula de Ciudadanía;6340362857;3990954600;Masculino;Tía;36;No;Oficios varios;Informal;Madre cabeza de hogar;Andrés Díaz;Cédula de Ciudadanía;7341779272;39;3193746048;Masculino;Tía;Sí;Independiente;Independiente;Migrante;Sí;Abuela;Contributivo;Colombiana;;;;;
Media;Laura;Gómez Díaz;Femenino;25/05/2003;Buenaventura, Valle del Cauca;Colombiana;22;Cédula de Ciudadanía;7919290213;BUENAVENTURA;Caney;10;2;Cll 13 #27-89;3896014829;9 Semestre;Normal Superior;;Trabajo Social;Unicatólica;Química;Lectura crítica;Apoyo en negocio familiar;Ninguna;Ver películas y jugar videojuegos;Sí;Auxiliar de ventas en tienda de barrio, hace 8 meses;Ingeniería de software;Sí;Sanitas;;Clínica Colombia;LINK ADJUNTO COPIA EPS;AB+;No;;Sí;Asma controlada;No;;No;Papá y hermanos;3;Entre 1 y 2 SMV;No;No;Afrocolombiano/a;Sí;Gabriela Rojas, Tía, 3703758122;Gabriela Díaz;Cédula de Ciudadanía;5819639755;3897629151;Masculino;Abuela;59;Sí;Oficios varios;Temporal;Madre cabeza de hogar;Felipe Castro;Cédula de Ciudadanía;3400622975;41;3951668123;Femenino;Madre;Sí;Independiente;Temporal;Víctima del conflicto;Sí;Abuela;Subsidiado;Colombiana;;;;;
Media;Laura;Torres Rojas;Femenino;24/05/2006;Yumbo, Valle del Cauca;Colombiana;19;Cédula de Ciudadanía;7185208441;YUMBO;Ciudad Córdoba;2;3;Cra 15 #23-45;3244606413;9 Semestre;Otra;;Contaduría Pública;Fundación Universitaria Católica Lumen Gentium;Programación;Cálculo;Cuidado de hermanos;Equipo de fútbol;Leer, escuchar música y caminar;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Ingeniería de software;Sí;Sura;;Clínica Versalles;LINK ADJUNTO COPIA EPS;AB+;No;;Sí;Asma controlada;Sí;Ácaros;Control médico general;Abuela y tíos;4;Más de 3 SMV;No;No;Mestizo/a;No;;Juan José Vargas;Cédula de Ciudadanía;1173565923;3274561971;Femenino;Tía;36;No;Comerciante;Formal;Madre cabeza de hogar;Isabella Hernández;Cédula de Ciudadanía;9813867159;30;3975422469;Femenino;Abuela;Sí;Oficios varios;Independiente;Ninguno;Sí;Padre;Contributivo;Colombiana;;;;;
Media;Paula;Castro Gómez;Femenino;5/05/2007;Buga, Valle del Cauca;Colombiana;18;Cédula de Ciudadanía;4236914198;BUGA;Meléndez;7;1;Cra 15 #23-45;3294974591;11;Santa Librada;;Ingeniería Industrial;Unicatólica;Física;Lectura crítica;Labores del hogar;Equipo de fútbol;Jugar fútbol y ver series;Sí;Mesero/a los fines de semana, hace 1 año;Diseño gráfico;Sí;Nueva EPS;;Clínica Versalles;LINK ADJUNTO COPIA EPS;A-;Sí;Motriz;No;;Sí;Penicilina;No;Papá y hermanos;6;Entre 1 y 2 SMV;No;No;Indígena;Sí;Andrés Mendoza, Hermano/a, 3039685084;Nicolás Moreno;Cédula de Ciudadanía;9735690842;3890418038;Masculino;Padre;51;Sí;Conductor;Informal;Madre cabeza de hogar;Sebastián García;Cédula de Ciudadanía;7407521472;52;3841495536;Femenino;Tía;Sí;Empleado/a;Temporal;Madre cabeza de hogar;Sí;Padre;Subsidiado;Colombiana;;;;;
Media;Sofía;López Moreno;Femenino;4/12/2000;Buenaventura, Valle del Cauca;Colombiana;25;Cédula de Ciudadanía;1344198909;BUENAVENTURA;Poblado Campestre;8;4;Cll 5 #80-22;3944150977;Grado 11;Colegio Comfandi;;Contaduría Pública;SENA;Química;Física;Cuidado de hermanos;Grupo juvenil;Compartir con la familia y descansar;Sí;Apoyo administrativo medio tiempo, hace 6 meses;Ingeniería de software;Sí;Nueva EPS;;Hospital Universitario del Valle;LINK ADJUNTO COPIA EPS;A-;No;;No;;No;;Control médico general;Mamá, papá y hermanos;5;Entre 2 y 3 SMV;No;No;Ninguna;No;;Sebastián López;Cédula de Ciudadanía;6407960026;3980709045;Femenino;Abuela;37;Sí;Conductor;Formal;Migrante;Sebastián Ramírez;Cédula de Ciudadanía;2125156745;35;3486999623;Masculino;Tía;No;Independiente;Formal;Ninguno;Sí;Abuela;Subsidiado;Colombiana;;;;;
